Monthly data for lake:, hur,,,,,,,,,,,
Subbasin:, Overlake,,,,,,,,,,,
DataType:, Precipitation,,,,,,,,,,,
DataType:, Sum of daily precipitation values,,,,,,,,,,,
Units:, mm,,,,,,,,,,,
YYYY,       Jan,       Feb,       Mar,       Apr,       May,       Jun,       Jul,       Aug,       Sep,       Oct,       Nov,       Dec
1940,67.61,33.73,43.15,43.62,86.51,83.73,58.52,101.84,86.09,68.5,87.66,70.9
1941,62.38,40.7,34.01,61.3,60.46,34.29,62.57,72.37,91.4,149.42,92.53,63.92
1942,68.78,35.5,89.61,43.91,126.75,62.73,70.13,51.92,136.01,70.09,71.02,86.87
1943,70.59,73.12,90.74,72.13,96.21,95.98,71.91,78.18,58.61,50.46,91.51,38.96
1944,33.96,44.87,70.21,44.73,47.71,97.66,78.55,50.3,102.78,38.21,88.45,64.85
1945,59.13,48.19,44.08,78.15,140.48,101.75,65.12,58.52,120.62,96.69,65.71,69.24
1946,86.63,62.71,34.36,23.37,87.85,66.82,38.14,62.75,65.9,35.85,51.63,95.16
1947,67.06,65.1,58.91,87.66,121.29,61.28,96.5,31.67,102.55,28.66,74.77,42.95
1948,62.39,46.76,91.24,66.87,58.88,61.33,52.58,32.57,27.23,45.72,97.82,52.53
1949,82.74,64.67,46.89,38.97,52.36,84.55,60,46.7,74.21,53.09,60.78,101.73
1950,98.79,86.63,73.07,66.65,30.05,81.95,85.53,86.06,78.6,54.59,94.69,69.08
1951,76.75,66.88,73.22,98.34,38.98,58.72,115.36,80.9,83.54,122.97,87.4,98.89
1952,74.36,40.69,60.07,78.51,66.35,51.71,118.16,86.68,59.93,17.2,88.06,56.52
1953,62.62,65.2,78.35,67.71,106.7,62.52,82.34,67.56,93.16,39.53,53.83,69.31
1954,50.33,61.03,73.66,100.54,48.53,115.16,45.44,56.52,120.5,155.4,62.57,58.98
1955,64.16,50.92,53.1,66.39,67.19,36.17,58.56,74.39,24.11,88.56,75.31,63.77
1956,28.88,49.68,51.11,73.39,81.8,72.15,84.53,116.9,63.04,19.82,60.88,69.11
1957,67.57,36.68,36.72,78.51,72.79,109.33,72.48,30.77,106.61,87.71,81.62,82.54
1958,47.81,36.03,12.95,33.91,26.77,63.23,66.47,53.49,88.37,58.49,87.51,69.68
1959,62.38,59.31,42.02,100.22,96.24,42.69,71.87,128.16,90.62,107.62,102.91,67.96
1960,60.87,50.45,43,76.66,109.13,93.04,61.09,40.29,55.34,54.87,62.77,47.25
1961,31.61,42.59,48.37,48.93,36.17,75.26,73.27,75.09,115.95,44.2,61.62,58.71
1962,66.32,59.99,15.84,46.86,67.63,43.98,56.5,64.8,90.59,85.34,30.88,86.34
1963,48.26,31.3,53.36,51.41,71.95,45.56,69.27,80.63,59.79,31.3,65.7,68.15
1964,42.34,20.69,50.07,66.75,58.74,33.53,78.51,128.53,80.53,40.03,72.53,77.43
1965,84.58,84.85,42.3,60.93,62.02,42.5,52.95,102.57,128.9,63.6,82.56,72.38
1966,44.33,38.91,68.87,54,31.99,36.05,27.03,82.81,54.87,52.47,129.7,93.13
1967,71.31,51.15,31.72,93.29,38.1,137.24,44.23,89.69,64.83,93.25,89.51,86.51
1968,52.88,64.45,33.58,58.11,74.33,83.17,57.73,111.08,83.41,63.88,68.78,88.35
1969,76.17,19.2,35.46,73.03,83.95,118.57,56.92,26.12,47.33,130.8,77.11,44.93
1970,55.9,24.91,50.56,66.68,62.46,52.37,138.66,40.16,134.86,69.67,53.94,77.03
1971,78.67,75.5,53.15,39.29,61.21,67.66,86.67,88.71,52.19,29.42,61.74,114.58
1972,55.05,58.05,67.41,44.77,44.28,70.49,93.64,106.75,66.62,68.28,50.21,130.91
1973,69.75,67.31,76.73,41.29,113.5,74.1,69.47,76.77,44.57,79.08,83.68,79.91
1974,90.47,62.43,50.28,80.88,90.21,75.22,67.8,55.14,88.82,62.99,74.41,50.38
1975,102.33,75.7,58.46,57.91,63.82,77.99,67.16,115.23,73.03,25.17,80.37,80.47
1976,98.34,62.32,103.34,44.83,77.58,100.3,63.41,40.09,73.63,67.79,66.13,100.98
1977,100.46,67.31,82.16,55.66,38.37,47.81,79.09,149.45,122.78,64.25,112.87,80.73
1978,73.15,26.47,27.8,35.81,70.02,55.99,55.4,66.9,177.72,48.36,57.56,86.42
1979,85.28,38.59,75.92,68.32,65.84,90.49,35.51,81.12,24.16,96.46,75.34,68.07
1980,50.31,34.18,40.4,74.85,43.54,66.24,58.6,45.46,78.38,50.48,27.85,65.1
1981,30.71,58.5,24.16,79.12,50.21,67.54,33.25,81.44,100.99,70.5,42.18,42.81
1982,67.05,26.89,57.75,35.35,51.88,51.94,40.76,82.73,121.12,47.03,94.6,102.84
1983,62.7,35.77,62.55,69.08,140.33,37.27,39.69,87.8,104.36,82.94,52.92,84.02
1984,38.66,33.3,52.51,47.01,78.15,65.87,53.7,87.22,90.03,67.02,64.02,73.27
1985,74.09,72.69,66.27,49.53,56.02,28.79,59.27,75.35,73.8,59.24,78.39,66.07
1986,25.64,20.92,34.97,26.17,61.67,47.97,70.27,44.16,136.95,49.68,21.71,29.03
1987,25.32,9.87,20.1,23.83,40.45,58.49,34.76,59.56,53.09,59.05,45.94,45.6
1988,43.58,51.87,30.46,38.25,38.86,19.49,48.68,78.64,54.87,122.61,90.18,48.25
1989,32.79,26.82,45.26,37.31,50.29,62.86,10.33,56.54,48.01,64.67,113.56,91
1990,72.04,53.31,55.83,53.04,87.92,94.98,67.68,74.38,94.08,133,110.05,81.93
1991,53.67,39.45,113.87,113.91,86.41,25.18,75.41,62.04,83.17,106.66,65.87,54.62
1992,54.53,39.86,45.23,75.79,29.04,44.68,74.86,69.5,71.6,38.34,81.85,35.65
1993,49.08,30.96,20.34,66.37,58.31,63.52,41.75,50.37,76,68.38,42.06,36.22
1994,60.56,27.55,30.14,52.04,51.26,70.45,76.86,84.08,47.96,45.83,68.15,20.96
1995,58.61,26.11,28.69,68.98,52.64,39.63,61.5,76.7,47.48,61.18,85.97,62.76
1996,49.91,38.71,19.3,80.09,68.39,94.73,99.39,51.51,162.21,70.99,51.68,72.36
1997,73.87,57.76,52.82,32.5,71.74,32.45,62.81,90.57,79.4,43.67,37.67,26.62
1998,54.19,22.87,95.87,30.9,51.72,55.82,35.52,54.85,62.82,63.85,60.83,57.45
1999,87.36,32.89,16.52,41.45,53.6,69.79,75.53,47.39,69.88,60.74,47.54,67.53
2000,47.41,36.94,31.27,46.11,113.49,110.16,60.51,75.99,82.75,39.54,74.87,122.44
2001,42.12,75.85,30.91,45.56,69.83,58.39,26.69,74.19,174,99.06,43.28,58.05
2002,25.77,43.46,50.97,59.01,50.22,48.01,43.24,40.42,27.64,50.51,41.68,36.04
2003,59.19,40.36,36.72,45.88,68.2,47.12,46.5,34.9,77.41,56.45,78.83,49.84
2004,91.89,26.64,59.25,34.45,79.49,39.84,52.55,38.09,16.37,67.75,55.1,81.15
2005,74.07,49.36,34.78,46.33,18.49,46.02,70.64,89.83,97.3,38.74,129.24,86.2
2006,90.82,95.55,56.98,67.24,63.08,49.09,92.16,63.17,104.74,125.26,75.54,110.93
2007,68.32,46.65,63.31,76.97,47.64,54.41,47.94,70.83,71.36,176.72,78.45,87.79
2008,115.51,84.44,69.06,51.23,82.81,110.3,66.51,53.79,100.94,67.85,108.56,142.51
2009,62.13,84.1,62.18,93.28,63.71,76.56,59.59,90.52,59.31,113.8,33.58,62.28
2010,43.61,19.87,8.35,40.3,68.43,145.7,64.33,63.58,126.64,44.02,85.44,66.64
2011,69.81,43.4,61.52,124.11,79.17,99.8,51.3,83.48,119.94,126.49,85.29,68.75
2012,65.7,27.73,56.42,39.17,43.99,73.56,44.4,88.9,70.83,130.07,34.18,55.2
2013,104.78,66.12,36.24,132.78,85.56,64.25,93.7,63.94,68.75,124.58,86.37,86.06
2014,86.9,42.09,43.62,105.25,66.56,58.63,98.27,99.37,100.77,97.85,105.2,50.92
2015,57.48,40.74,24.85,57.2,74.5,91.25,32.75,87.53,61.14,85.42,86.95,91.62
2016,73.06,71.4,123.75,62.1,45.87,42.44,56.22,90.28,84.53,75.99,49.45,89.65
2017,92.33,80.23,66.62,107.66,86,116.69,75.58,77.57,65.47,118.11,90.3,76.7
2018,82.86,81.93,33.04,87,67.09,48.74,82.58,116.59,55.56,103.23,94.35,78.12
2019,87.8,70.02,61.41,119.85,98.89,84.65,63.04,45.4,99.79,119.38,35.79,        NA
